time,seconds_elapsed,z,y,x
1712257409132495600,2.89549560546875,0.2886810302734375,0.030184268951416016,0.08897365629673004
1712257409142501600,2.905501708984375,0.2801942825317383,0.012563467025756836,0.08369077742099762
1712257409152507600,2.915507568359375,0.1547842025756836,0.03575491905212402,0.05992621183395386
1712257409162513700,2.925513671875,0.012774467468261719,0.020508289337158203,0.09756927192211151
1712257409172519700,2.935519775390625,-0.009345054626464844,0.034242868423461914,0.21087592840194702
1712257409182526000,2.94552587890625,-0.04529380798339844,0.05261373519897461,0.23354607820510864
1712257409192532000,2.955531982421875,-0.0948934555053711,0.05680418014526367,0.1866430640220642
1712257409202538000,2.9655380859375,-0.11552047729492188,0.03755068778991699,0.0717381089925766
1712257409212544000,2.9755439453125,-0.15949058532714844,0.009589672088623047,-0.06904271245002747
1712257409222550000,2.985550048828125,-0.1464366912841797,-0.007875919342041016,-0.19337238371372223
1712257409232556000,2.99555615234375,-0.06293106079101562,0.007761716842651367,-0.14054527878761292
1712257409242562000,3.00556201171875,-0.0231781005859375,-0.0005784034729003906,0.06926442682743073
1712257409252568000,3.015568115234375,-0.0029649734497070312,-0.02762746810913086,0.17469914257526398
1712257409262574000,3.025573974609375,-0.030088424682617188,0.02560591697692871,0.0808408111333847
1712257409272580000,3.035580078125,-0.042453765869140625,0.08699393272399902,-0.05052608996629715
1712257409282586400,3.04558642578125,-0.10635566711425781,0.05791759490966797,-0.10201428830623627
1712257409292592400,3.05559228515625,-0.17409420013427734,-0.002930879592895508,-0.13201549649238586
1712257409302598400,3.065598388671875,-0.19402408599853516,-0.033228397369384766,-0.13640861213207245
1712257409312604400,3.0756044921875,-0.2142801284790039,-0.028103113174438477,-0.1437648981809616
1712257409322610400,3.0856103515625,-0.19723987579345703,-0.006886482238769531,-0.14360986649990082
1712257409332616400,3.095616455078125,-0.11033344268798828,0.0341801643371582,-0.12093599885702133
1712257409342622500,3.10562255859375,0.07874011993408203,0.04621529579162598,-0.08857809007167816
1712257409352628500,3.11562841796875,0.21344852447509766,0.04226827621459961,-0.10754044353961945
1712257409362634500,3.125634521484375,0.2667961120605469,0.035767555236816406,-0.1110285222530365
1712257409372640500,3.135640625,0.26850414276123047,0.04058361053466797,-0.028953976929187775
1712257409382646800,3.145646728515625,0.1674060821533203,0.05719327926635742,0.005018189549446106
1712257409392652800,3.15565283203125,-0.007088661193847656,0.06812477111816406,-0.003865256905555725
1712257409402658800,3.165658935546875,-0.14598751068115234,0.046684980392456055,-0.003394603729248047
